time,product,region,count
2021-01-01 01:28:26,110,N,1
2021-01-01 04:22:06,110,N,3
2021-01-01 06:21:05,110,N,1
2021-01-01 09:10:33,110,N,2
2021-01-01 10:39:22,110,N,0
2021-01-01 11:22:47,110,N,1
2021-01-01 12:40:33,110,N,1
2021-01-01 13:37:20,110,N,0
2021-01-01 13:58:01,110,N,0
2021-01-01 15:46:55,110,N,0
2021-01-01 17:32:47,110,N,0
2021-01-01 20:13:59,110,N,1
2021-01-01 21:07:16,110,N,1
2021-01-01 22:07:33,110,N,0
2021-01-02 07:42:37,110,N,2
2021-01-02 11:25:26,110,N,1
2021-01-02 12:19:38,110,N,0
2021-01-02 15:04:45,110,N,0
2021-01-02 16:41:04,110,N,2
2021-01-02 21:43:00,110,N,0
2021-01-03 00:20:02,110,N,3
2021-01-03 01:00:46,110,N,1
2021-01-03 02:15:18,110,N,3
2021-01-03 06:38:57,110,N,1
2021-01-03 09:08:28,110,N,1
2021-01-03 17:06:24,110,N,2
2021-01-03 22:09:18,110,N,2
2021-01-04 07:40:13,110,N,2
2021-01-04 10:15:43,110,N,1
2021-01-04 12:53:04,110,N,1
2021-01-04 15:13:40,110,N,3
2021-01-04 15:50:08,110,N,2
2021-01-04 18:07:16,110,N,0
2021-01-04 19:00:48,110,N,0
2021-01-04 22:45:58,110,N,2
2021-01-05 05:54:47,110,N,2
2021-01-05 08:04:48,110,N,0
2021-01-05 09:34:52,110,N,0
2021-01-05 10:17:10,110,N,1
2021-01-05 12:46:16,110,N,0
2021-01-05 14:16:41,110,N,2
2021-01-05 20:55:49,110,N,2
2021-01-05 22:51:32,110,N,2
2021-01-05 22:52:38,110,N,1
2021-01-06 00:53:56,110,N,0
2021-01-06 03:54:05,110,N,0
2021-01-06 04:00:52,110,N,0
2021-01-06 04:34:28,110,N,0
2021-01-06 07:38:32,110,N,2
2021-01-06 09:57:33,110,N,1
2021-01-06 09:58:14,110,N,3
2021-01-06 10:22:39,110,N,1
2021-01-06 13:59:57,110,N,0
2021-01-06 14:09:07,110,N,1
2021-01-06 14:36:28,110,N,0
2021-01-06 14:55:09,110,N,0
2021-01-06 15:48:40,110,N,1
2021-01-06 16:35:23,110,N,1
2021-01-06 17:53:50,110,N,2
2021-01-06 19:55:51,110,N,1
2021-01-06 22:03:12,110,N,0
2021-01-07 04:22:09,110,N,0
2021-01-07 08:52:52,110,N,2
2021-01-07 09:36:01,110,N,1
2021-01-07 11:40:48,110,N,1
2021-01-07 15:50:23,110,N,1
2021-01-07 18:59:50,110,N,1
